Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Protein families
Q12601	Q12601_9ASCO	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglB	Nakazawaea wickerhamii	609	Glycosyl hydrolase 1 family
Q4WBS7	Q4WBS7_ASPFU	unreviewed	Beta-glucosidase (EC 3.2.1.21)	AFUA_8G06970	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	583	Glycosyl hydrolase 1 family
L7RVW5	L7RVW5_9EURO	unreviewed	Intracellular beta-glucosidase (EC 3.2.1.21)	bgl2	Penicillium decumbens	483	Glycosyl hydrolase 1 family
Q870B6	Q870B6_PIRSE	unreviewed	Beta-glucosidase Cel1C (EC 3.2.1.21)		Piromyces sp. (strain E2)	665	Glycosyl hydrolase 1 family
Q9C122	Q9C122_PIRSE	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bgl1A	Piromyces sp. (strain E2)	664	Glycosyl hydrolase 1 family
Q870B5	Q870B5_PIRSE	unreviewed	Beta-glucosidase Cel1D (EC 3.2.1.21) (Fragment)		Piromyces sp. (strain E2)	110	Glycosyl hydrolase 1 family
H8XVY6	H8XVY6_9EURO	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Paecilomyces sp. J18	479	Glycosyl hydrolase 1 family
A0A0D3RLY6	A0A0D3RLY6_RHIST	unreviewed	Beta-glucosidase III (EC 3.2.1.21)	BGIII	Rhizopus stolonifer var. reflexus	455	Glycosyl hydrolase 1 family
A0A076JRL8	A0A076JRL8_HUMIN	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bglhi	Humicola insolens (Soft-rot fungus)	476	Glycosyl hydrolase 1 family
B8M2Y0	B8M2Y0_TALSN	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	TSTA_094810	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	493	Glycosyl hydrolase 1 family
Q9UUQ3	Q9UUQ3_ORPSP	unreviewed	Beta-glucosidase (EC 3.2.1.21)	bgl1	Orpinomyces sp. (strain PC-2)	657	Glycosyl hydrolase 1 family
K4K173	K4K173_PENFN	unreviewed	GH1 beta-glucosidase (EC 3.2.1.21)	bgl1	Penicillium funiculosum (Fruitlet core rot fungus)	490	Glycosyl hydrolase 1 family
L7T8J0	L7T8J0_9EURO	unreviewed	Glycoside hydrolase family 1 beta-glucosidase (EC 3.2.1.21)	bgl1	Phialophora sp. G5	476	Glycosyl hydrolase 1 family
Q2UL94	Q2UL94_ASPOR	unreviewed	Beta-glucosidase	AO090003000497	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	438	Glycosyl hydrolase 1 family
B7Z536	B7Z536_HUMAN	unreviewed	cDNA FLJ55639, highly similar to Cytosolic beta-glucosidase (EC 3.2.1.21)		Homo sapiens (Human)	470	Glycosyl hydrolase 1 family
D0VYR5	D0VYR5_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21)	sgNtBG1 sgNtBG3	Nasutitermes takasagoensis	489	Glycosyl hydrolase 1 family
A0A060NTE4	A0A060NTE4_CRYPU	unreviewed	Beta-glucosidase (EC 3.2.1.21) (Fragment)	CpBGI	Cryptocercus punctulatus (Brown-hooded cockroach)	302	Glycosyl hydrolase 1 family
H9CGR5	H9CGR5_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Macrotermes barneyi	493	Glycosyl hydrolase 1 family
A0A0E3URF5	A0A0E3URF5_ADIRI	unreviewed	Glycoside hydrolase 1 (EC 3.2.1.21)	cba-1	Adineta ricciae (Rotifer)	485	Glycosyl hydrolase 1 family
E0VJB5	E0VJB5_PEDHC	unreviewed	Beta-glucosidase, putative (EC 3.1.1.32) (EC 3.2.1.21)	Phum_PHUM241350	Pediculus humanus subsp. corporis (Body louse)	760	Glycosyl hydrolase 1 family
A0A060NUP4	A0A060NUP4_PANAG	unreviewed	Beta-glucosidase (EC 3.2.1.21) (Fragment)	PaBGI	Panesthia angustipennis spadica	303	Glycosyl hydrolase 1 family
A0A060P1M7	A0A060P1M7_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21) (Fragment)	RsBGII	Reticulitermes speratus	300	Glycosyl hydrolase 1 family
A0A060NZS1	A0A060NZS1_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21) (Fragment)	RsBGI	Reticulitermes speratus	302	Glycosyl hydrolase 1 family
Q86D78	Q86D78_BOMMO	unreviewed	Glucosidase		Bombyx mori (Silk moth)	491	Glycosyl hydrolase 1 family
Q8T0W7	Q8T0W7_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21)	NkBG	Neotermes koshunensis	498	Glycosyl hydrolase 1 family
D5KQK3	D5KQK3_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Odontotermes formosanus	472	Glycosyl hydrolase 1 family
Q9GSE6	Q9GSE6_TENMO	unreviewed	Beta-glucosidase (EC 3.2.1.21) (Fragment)		Tenebrio molitor (Yellow mealworm beetle)	502	Glycosyl hydrolase 1 family
A0A060NR41	A0A060NR41_ZOONE	unreviewed	Beta-glucosidase (EC 3.2.1.21) (Fragment)	ZnBGII	Zootermopsis nevadensis (Dampwood termite)	300	Glycosyl hydrolase 1 family
A0A060NUN8	A0A060NUN8_ZOONE	unreviewed	Beta-glucosidase (EC 3.2.1.21) (Fragment)	ZnBGI	Zootermopsis nevadensis (Dampwood termite)	302	Glycosyl hydrolase 1 family
A0A059WHP2	A0A059WHP2_PERAM	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Periplaneta americana (American cockroach) (Blatta americana)	505	Glycosyl hydrolase 1 family
O61594	O61594_SPOFR	unreviewed	Beta-glucosidase		Spodoptera frugiperda (Fall armyworm)	509	Glycosyl hydrolase 1 family
D0VYR6	D0VYR6_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21)	sgNtBG2	Nasutitermes takasagoensis	489	Glycosyl hydrolase 1 family
D0VYR9	D0VYR9_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21)	mgNtBG1	Nasutitermes takasagoensis	490	Glycosyl hydrolase 1 family
D0VYS0	D0VYS0_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21)	mgNtBG2	Nasutitermes takasagoensis	490	Glycosyl hydrolase 1 family
D0VYR8	D0VYR8_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21)	sgNtBG4	Nasutitermes takasagoensis	489	Glycosyl hydrolase 1 family
D0VYS1	D0VYS1_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21)	mgNtBG3	Nasutitermes takasagoensis	490	Glycosyl hydrolase 1 family
A0A060NZS6	A0A060NZS6_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21) (Fragment)	SeBGI	Salganea esakii	303	Glycosyl hydrolase 1 family
A0A060P1N1	A0A060P1N1_9NEOP	unreviewed	Beta-glucosidase (EC 3.2.1.21) (Fragment)	SeBGII	Salganea esakii	302	Glycosyl hydrolase 1 family
H9ZGE0	H9ZGE0_PRUDU	unreviewed	Prunasin hydrolase (EC 3.2.1.21)	Ph691	Prunus dulcis (Almond) (Amygdalus dulcis)	544	Glycosyl hydrolase 1 family
Q53WW9	Q53WW9_MAIZE	unreviewed	Beta-D-glucosidase (EC 3.2.1.21) (Non-cyanogenic beta-glucosidase) (Uncharacterized protein)	glu1	Zea mays (Maize)	566	Glycosyl hydrolase 1 family
K7W2F0	K7W2F0_MAIZE	unreviewed	Beta-glucosidase (EC 3.2.1.21)	gpm205 ZEAMMB73_675085	Zea mays (Maize)	481	Glycosyl hydrolase 1 family
B8A1R1	B8A1R1_MAIZE	unreviewed	Beta-glucosidase (EC 3.2.1.21)	TIDP3759	Zea mays (Maize)	480	Glycosyl hydrolase 1 family
E6NU37	E6NU37_JATCU	unreviewed	Beta-glucosidase (EC 3.2.1.21)	JHL23J11.2 JCGZ_18084	Jatropha curcas (Barbados nut)	491	Glycosyl hydrolase 1 family
B5M9E4	B5M9E4_SOLLC	unreviewed	Beta-glucosidase 01 (Uncharacterized protein)	LOC100191127	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	517	Glycosyl hydrolase 1 family
A0A077S2F2	A0A077S2F2_WHEAT	unreviewed	Beta-glucosidase (EC 3.2.1.21)	TRAES_3BF104500020CFD_c1	Triticum aestivum (Wheat)	483	Glycosyl hydrolase 1 family
A8TVR1	A8TVR1_MEDTR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	MTR_3g033810	Medicago truncatula (Barrel medic) (Medicago tribuloides)	493	Glycosyl hydrolase 1 family
G7IX47	G7IX47_MEDTR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	MTR_3g033790	Medicago truncatula (Barrel medic) (Medicago tribuloides)	490	Glycosyl hydrolase 1 family
V4UC97	V4UC97_9ROSI	unreviewed	Beta-glucosidase (EC 3.2.1.21)	CICLE_v10015030mg	Citrus clementina	492	Glycosyl hydrolase 1 family
A0A0A7HJS7	A0A0A7HJS7_SECED	unreviewed	Beta glucosidase (EC 3.2.1.21) (Fragment)		Sechium edule (Pipinela)	209	Glycosyl hydrolase 1 family
I3SYX2	I3SYX2_MEDTR	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Medicago truncatula (Barrel medic) (Medicago tribuloides)	493	Glycosyl hydrolase 1 family
J3L6Q8	J3L6Q8_ORYBR	unreviewed	Beta-glucosidase (EC 3.2.1.21)	OB01G49140	Oryza brachyantha	555	Glycosyl hydrolase 1 family
U5KJR1	U5KJR1_LOTJA	unreviewed	Beta-D-glucoside glucohydrolase (EC 3.2.1.21)		Lotus japonicus (Lotus corniculatus var. japonicus)	514	Glycosyl hydrolase 1 family
T1NU52	T1NU52_TRIUA	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Triticum urartu (Red wild einkorn) (Crithodium urartu)	445	Glycosyl hydrolase 1 family
A0A0D9V904	A0A0D9V904_9ORYZ	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Leersia perrieri	484	Glycosyl hydrolase 1 family
A0A0D9YIM6	A0A0D9YIM6_9ORYZ	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Oryza glumipatula	561	Glycosyl hydrolase 1 family
D8LQW6	D8LQW6_ECTSI	unreviewed	Beta-glucosidase, family GH1 (EC 3.2.1.21)	Esi_0061_0010	Ectocarpus siliculosus (Brown alga)	495	Glycosyl hydrolase 1 family
D7FRA3	D7FRA3_ECTSI	unreviewed	Beta-glucosidase, family GH1 (EC 3.2.1.21)	Esi_0212_0019	Ectocarpus siliculosus (Brown alga)	478	Glycosyl hydrolase 1 family
D8LGS1	D8LGS1_ECTSI	unreviewed	Beta-glucosidase, family GH1 (EC 3.2.1.21)	Esi_0176_0045	Ectocarpus siliculosus (Brown alga)	631	Glycosyl hydrolase 1 family
M4F2P8	M4F2P8_BRARP	unreviewed	Beta-glucosidase (EC 3.2.1.21)	Bra035347	Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis)	490	Glycosyl hydrolase 1 family
B9RXP7	B9RXP7_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_0905360	Ricinus communis (Castor bean)	511	Glycosyl hydrolase 1 family
B9SAQ2	B9SAQ2_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1177950	Ricinus communis (Castor bean)	511	Glycosyl hydrolase 1 family
B9REG8	B9REG8_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21) (Fragment)	RCOM_1768960	Ricinus communis (Castor bean)	380	Glycosyl hydrolase 1 family
B9SAQ5	B9SAQ5_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1177980	Ricinus communis (Castor bean)	193	Glycosyl hydrolase 1 family
B9T4F7	B9T4F7_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1071830	Ricinus communis (Castor bean)	517	Glycosyl hydrolase 1 family
B9SY45	B9SY45_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_0986720	Ricinus communis (Castor bean)	495	Glycosyl hydrolase 1 family
B9SAQ4	B9SAQ4_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1177970	Ricinus communis (Castor bean)	443	Glycosyl hydrolase 1 family
B9SAQ6	B9SAQ6_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1177990	Ricinus communis (Castor bean)	501	Glycosyl hydrolase 1 family
B9RAJ3	B9RAJ3_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1506830	Ricinus communis (Castor bean)	481	Glycosyl hydrolase 1 family
B9REH3	B9REH3_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1770010	Ricinus communis (Castor bean)	454	Glycosyl hydrolase 1 family
B9SAQ1	B9SAQ1_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1177940	Ricinus communis (Castor bean)	500	Glycosyl hydrolase 1 family
B9REH5	B9REH5_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1770330	Ricinus communis (Castor bean)	391	Glycosyl hydrolase 1 family
B9RAJ2	B9RAJ2_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1506820	Ricinus communis (Castor bean)	357	Glycosyl hydrolase 1 family
B9SAQ3	B9SAQ3_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1177960	Ricinus communis (Castor bean)	504	Glycosyl hydrolase 1 family
B9S3R9	B9S3R9_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_0827850	Ricinus communis (Castor bean)	542	Glycosyl hydrolase 1 family
B9TA98	B9TA98_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21) (Fragment)	RCOM_0229730	Ricinus communis (Castor bean)	805	Glycosyl hydrolase 1 family
B9RWJ7	B9RWJ7_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1020330	Ricinus communis (Castor bean)	382	Glycosyl hydrolase 1 family
B9S3R8	B9S3R8_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_0827440	Ricinus communis (Castor bean)	519	Glycosyl hydrolase 1 family
B9REF8	B9REF8_RICCO	unreviewed	Beta-glucosidase, putative (EC 3.2.1.21)	RCOM_1621030	Ricinus communis (Castor bean)	504	Glycosyl hydrolase 1 family
